dat_yer,dst_num,dst_tye,dst_nam,dst_cou,sch_num,sch_nam,sch_cou,enr_k12,fre_k12,rpc_k12,lep_k12,spe_k12,enr_pk12,fre_pk12,rpc_pk12,lep_pk12,spe_pk12,eco_dev
01-02,0001,03,MINNEAPOLIS,27,151,JENNY LIND EL.,27,593,346,91,212,95,593,346,91,212,95,11
01-02,0001,03,MINNEAPOLIS,27,152,NORTHROP EL.,27,228,117,25,58,17,228,117,25,58,17,11
01-02,0001,03,MINNEAPOLIS,27,155,PILLSBURY EL.,27,585,337,42,184,50,610,349,47,184,75,11
01-02,0001,03,MINNEAPOLIS,27,156,PRATT EL.,27,47,19,1,9,2,47,19,1,9,2,11
01-02,0001,03,MINNEAPOLIS,27,158,PUTNAM EL.,27,222,157,29,52,25,222,157,29,52,25,11
01-02,0001,03,MINNEAPOLIS,27,160,SEWARD EL.,27,645,194,63,77,66,664,205,66,77,85,11
01-02,0001,03,MINNEAPOLIS,27,161,SHERIDAN EL.,27,720,443,81,220,76,720,443,81,220,76,11
01-02,0001,03,MINNEAPOLIS,27,162,SHINGLE CREEK EL.,27,407,297,56,109,29,407,297,56,109,29,11
01-02,0001,03,MINNEAPOLIS,27,164,TUTTLE EL.,27,267,166,27,96,27,267,166,27,96,27,11
01-02,0001,03,MINNEAPOLIS,27,165,WAITE PARK EL.,27,404,164,58,84,41,404,164,58,84,41,11
01-02,0001,03,MINNEAPOLIS,27,166,WEBSTER OPEN EL.,27,720,522,102,339,57,720,522,102,339,57,11
01-02,0001,03,MINNEAPOLIS,27,167,WENONAH EL.,27,245,117,34,50,25,245,117,34,50,25,11
01-02,0001,03,MINNEAPOLIS,27,169,WILLARD EL.,27,483,359,52,139,48,483,359,52,139,48,11
01-02,0001,03,MINNEAPOLIS,27,170,WINDOM OPEN EL.,27,422,257,29,169,53,422,257,29,169,53,11
01-02,0001,03,MINNEAPOLIS,27,175,RAMSEY FINE ARTS EL.,27,894,369,112,174,97,894,369,112,174,97,11
01-02,0001,03,MINNEAPOLIS,27,179,JEFFERSON EL.,27,666,480,88,327,89,675,485,89,327,98,11
01-02,0001,03,MINNEAPOLIS,27,180,DOWLING EL.,27,363,101,54,29,67,363,101,54,29,67,11
01-02,0001,03,MINNEAPOLIS,27,182,SOUTHSIDE FAMILY,27,80,40,7,3,5,80,40,7,3,5,11
01-02,0001,03,MINNEAPOLIS,27,183,RIVER WEST ECSE,27,0,0,0,0,0,194,41,7,0,194,11
01-02,0001,03,MINNEAPOLIS,27,185,NORTH STAR EL.,27,711,589,63,195,98,711,589,63,195,98,11
01-02,0001,03,MINNEAPOLIS,27,190,ANDERSEN OPEN EL.,27,682,502,80,294,106,692,507,83,294,116,11
01-02,0001,03,MINNEAPOLIS,27,191,ANDERSEN EL.,27,396,355,28,179,32,396,355,28,179,32,11
01-02,0001,03,MINNEAPOLIS,27,193,SULLIVAN EL.,27,876,423,81,195,115,876,423,81,195,115,11
01-02,0001,03,MINNEAPOLIS,27,194,BENJAMIN BANNEKER EL.,27,696,589,36,200,58,707,594,37,200,69,11
01-02,0001,03,MINNEAPOLIS,27,195,POWDERHORN EL.,27,681,538,44,173,85,681,538,44,173,85,11
01-02,0001,03,MINNEAPOLIS,27,212,MILL CITY MONTESSORI,27,141,56,11,0,8,141,56,11,0,8,11
01-02,0001,03,MINNEAPOLIS,27,213,FOUR WINDS EL.,27,454,383,37,38,65,454,383,37,38,65,11
01-02,0001,03,MINNEAPOLIS,27,226,MARCY OPEN EL.,27,595,194,73,92,58,595,194,73,92,58,11
01-02,0001,03,MINNEAPOLIS,27,234,BOTTINEAU,27,113,43,14,22,22,120,46,14,22,29,11
01-02,0001,03,MINNEAPOLIS,27,238,DOWNTOWN OPEN,27,151,84,25,0,13,151,84,25,0,13,11
01-02,0001,03,MINNEAPOLIS,27,249,BRYN MAWR EL.,27,472,333,41,187,62,507,361,43,187,97,11
01-02,0001,03,MINNEAPOLIS,27,256,GREEN CENTRAL PARK,27,644,450,86,271,51,644,450,86,271,51,11
01-02,0001,03,MINNEAPOLIS,27,260,EMERSON EL.,27,488,223,60,134,30,488,223,60,134,30,11
01-02,0001,03,MINNEAPOLIS,27,268,LEARNING CNTR. HOMELESS FAMILIES,27,40,40,0,0,1,40,40,0,0,1,11
01-02,0001,03,MINNEAPOLIS,27,280,JORDAN PARK SCH. OF EXTENDED LRNG.,27,495,306,70,69,62,495,306,70,69,62,11
01-02,0001,03,MINNEAPOLIS,27,281,BROOKSIDE EL.,27,235,130,31,2,45,235,130,31,2,45,11
01-02,0001,03,MINNEAPOLIS,27,282,LUCY LANEY @ CLEVELAND PARK EL.,27,566,405,89,180,83,566,405,89,180,83,11
01-02,0001,03,MINNEAPOLIS,27,283,RIVER WEST DTP,27,29,24,2,0,29,29,24,2,0,29,11
01-02,0001,03,MINNEAPOLIS,27,284,WEST CENTRAL EL. ACADEMY,27,515,424,44,194,72,515,424,44,194,72,11
01-02,0001,03,MINNEAPOLIS,27,287,HALL EL.,27,350,303,23,18,36,350,303,23,18,36,11
01-02,0001,03,MINNEAPOLIS,27,288,BROADWAY AT HAWTHORNE EL.,27,537,430,26,70,78,550,435,27,70,91,11
01-02,0001,03,MINNEAPOLIS,27,289,WHITTIER PARK EL.,27,426,360,35,220,53,426,360,35,220,53,11
01-02,0001,03,MINNEAPOLIS,27,290,CITYVIEW COMMUNITY EL.,27,611,456,61,173,108,611,456,61,173,108,11
01-02,0001,03,MINNEAPOLIS,27,300,ANTHONY MID.,27,711,297,59,124,91,711,297,59,124,91,11
01-02,0001,03,MINNEAPOLIS,27,301,ANWATIN MID.,27,778,354,78,138,121,778,354,78,138,121,11
01-02,0001,03,MINNEAPOLIS,27,303,CHIRON MID.,27,214,143,17,5,38,214,143,17,5,38,11
01-02,0001,03,MINNEAPOLIS,27,304,FOLWELL MID.,27,669,487,63,232,100,669,487,63,232,100,11
01-02,0001,03,MINNEAPOLIS,27,306,FRANKLIN MID.,27,642,498,65,84,133,642,498,65,84,133,11
01-02,0001,03,MINNEAPOLIS,27,315,RONALD MCDONALD HOUSE,27,6,0,0,0,0,6,0,0,0,0,11
01-02,0001,03,MINNEAPOLIS,27,316,NORTHEAST MID.,27,562,381,66,109,95,562,381,66,109,95,11
01-02,0001,03,MINNEAPOLIS,27,318,OLSON MID.,27,709,504,84,184,113,709,504,84,184,113,11
01-02,0001,03,MINNEAPOLIS,27,319,VOLUNTEERS OF AMERICA MID.,27,20,18,2,0,7,20,18,2,0,7,11
01-02,0001,03,MINNEAPOLIS,27,324,SANFORD MID.,27,569,395,48,194,96,569,395,48,194,96,11
01-02,0001,03,MINNEAPOLIS,27,325,IDT-MERRIAM PARK,62,56,33,7,16,16,56,33,7,16,16,11
01-02,0001,03,MINNEAPOLIS,27,348,M.E.R.C.,27,59,45,8,1,9,59,45,8,1,9,11
01-02,0001,03,MINNEAPOLIS,27,349,LORING-NICOLLET,27,51,11,5,1,2,51,11,5,1,2,11
01-02,0001,03,MINNEAPOLIS,27,351,URBAN LEAGUE ST. ACADEMY,27,131,98,14,1,23,131,98,14,1,23,11
01-02,0001,03,MINNEAPOLIS,27,352,EDISON SR.,27,1509,956,88,579,198,1509,956,88,579,198,11
01-02,0001,03,MINNEAPOLIS,27,353,BROADWAY TECH/ARTS HIGH SCHOOL,27,187,161,5,25,22,187,161,5,25,22,11
01-02,0001,03,MINNEAPOLIS,27,354,HENRY SR.,27,1488,939,178,354,221,1488,939,178,354,221,11
01-02,0001,03,MINNEAPOLIS,27,357,PLYMOUTH YOUTH CENTER CAPRI,27,108,73,8,7,26,108,73,8,7,26,11
01-02,0001,03,MINNEAPOLIS,27,358,NORTH SR.,27,1260,793,129,226,210,1260,793,129,226,210,11
01-02,0001,03,MINNEAPOLIS,27,359,PEASE ACADEMY/HOLOS,27,60,25,0,1,8,60,25,0,1,8,11
01-02,0001,03,MINNEAPOLIS,27,360,ROOSEVELT SR.,27,1636,1004,141,607,240,1636,1004,141,607,240,11
01-02,0001,03,MINNEAPOLIS,27,361,CENTER SCHOOL,27,62,53,1,0,9,62,53,1,0,9,11
01-02,0001,03,MINNEAPOLIS,27,362,SOUTH SR.,27,2038,644,103,268,208,2038,644,103,268,208,11
01-02,0001,03,MINNEAPOLIS,27,363,ICALL,27,83,50,1,79,0,83,50,1,79,0,11
01-02,0001,03,MINNEAPOLIS,27,364,SOUTHWEST SR.,27,1646,507,66,408,181,1646,507,66,408,181,11
01-02,0001,03,MINNEAPOLIS,27,365,CITY INC. N.,27,92,59,4,12,14,92,59,4,12,14,11
01-02,0001,03,MINNEAPOLIS,27,367,P.M. HIGH SCHOOL,27,110,45,13,4,0,110,45,13,4,0,11
01-02,0001,03,MINNEAPOLIS,27,368,WASHBURN SR.,27,1381,592,109,263,148,1381,592,109,263,148,11
01-02,0001,03,MINNEAPOLIS,27,369,KATAHDIN,27,32,23,3,0,9,32,23,3,0,9,11
01-02,0001,03,MINNEAPOLIS,27,371,OPERATION DE NOVO,27,40,25,1,2,10,40,25,1,2,10,11
01-02,0001,03,MINNEAPOLIS,27,373,MENLO PARK,27,66,39,9,0,12,66,39,9,0,12,11
01-02,0001,03,MINNEAPOLIS,27,374,WORK OPPORTUNITY CTR.,27,205,104,17,38,14,205,104,17,38,14,11
01-02,0001,03,MINNEAPOLIS,27,376,EDISON EVENING PROGRAM,27,27,9,2,22,0,27,9,2,22,0,11
01-02,0001,03,MINNEAPOLIS,27,380,TRANSITION PLUS SERVICES,27,200,152,14,15,195,200,152,14,15,195,11
01-02,0001,03,MINNEAPOLIS,27,382,HARRISON EDUCATION CNTR,27,46,38,4,0,46,46,38,4,0,46,11
01-02,0001,03,MINNEAPOLIS,27,387,CONNECTION CTR.,27,73,59,5,1,8,73,59,5,1,8,11
01-02,0001,03,MINNEAPOLIS,27,391,ABRAHAM LINCOLN HIGH SCHOOL,27,411,331,18,335,5,411,331,18,335,5,11
01-02,0001,03,MINNEAPOLIS,27,393,AMERICAN INDIAN OIC,27,39,16,7,0,5,39,16,7,0,5,11
01-02,0001,03,MINNEAPOLIS,27,394,MN TEEN CHALLANGE,27,40,40,0,0,3,40,40,0,0,3,11
01-02,0001,03,MINNEAPOLIS,27,395,DYNAMICS OF CHANGE,27,21,18,2,2,6,21,18,2,2,6,11
01-02,0001,03,MINNEAPOLIS,27,401,SULLIVAN HEARING IMPAIRED,27,40,28,2,9,40,42,29,2,9,42,11
01-02,0001,03,MINNEAPOLIS,27,402,HANDS ON,27,148,58,12,5,16,148,58,12,5,16,11
01-02,0001,03,MINNEAPOLIS,27,403,MINNEAPOLIS YOUTH ACADEMY,27,51,18,2,0,6,51,18,2,0,6,11
01-02,0001,03,MINNEAPOLIS,27,404,UPTOWN CHILDRENS ACADEMY,27,27,27,0,0,0,27,27,0,0,0,11
01-02,0001,03,MINNEAPOLIS,27,405,FRESH START,27,108,62,22,0,2,108,62,22,0,2,11
01-02,0001,03,MINNEAPOLIS,27,406,VOLUNTEERS OF AMERICA-HIGH,27,95,59,5,2,28,95,59,5,2,28,11
01-02,0001,03,MINNEAPOLIS,27,407,MPLS. TECHNICAL TRAINING,27,147,76,22,15,5,147,76,22,15,5,11
01-02,0001,03,MINNEAPOLIS,27,408,CITY INC. SOUTH,27,114,78,11,14,22,114,78,11,14,22,11
01-02,0001,03,MINNEAPOLIS,27,410,IDT-BLOOMINGTON,27,18,7,1,1,1,18,7,1,1,1,11
01-02,0001,03,MINNEAPOLIS,27,411,PLYMOUTH YOUTH CTR. LYNDALE,27,80,54,12,8,14,80,54,12,8,14,11
01-02,0001,03,MINNEAPOLIS,27,412,CENTER FOR TRAINING & CAREERS,27,181,61,14,23,2,181,61,14,23,2,11
01-02,0001,03,MINNEAPOLIS,27,413,PLYMOUTH YOUTH CENTER MIDDLE,27,24,23,0,1,3,24,23,0,1,3,11
01-02,0001,03,MINNEAPOLIS,27,414,UL STREET ACADEMY MIDDLE,27,21,16,4,0,2,21,16,4,0,2,11
01-02,0001,03,MINNEAPOLIS,27,523,MPLS. H.S. ALTERNATIVE PROGRAM,27,22,3,3,1,1,22,3,3,1,1,11
01-02,0001,03,MINNEAPOLIS,27,623,EDISON PPL.,27,192,104,36,22,21,192,104,36,22,21,11
01-02,0001,03,MINNEAPOLIS,27,625,MPLS. CRAWFORD FIRST,27,59,31,3,1,59,59,31,3,1,59,11
01-02,0001,03,MINNEAPOLIS,27,679,UNIVERSITY-DAY COMMUNITY,27,17,8,0,0,14,17,8,0,0,14,11
01-02,0001,03,MINNEAPOLIS,27,685,HENN. CO. JUVENILE CNTR.,27,44,44,0,6,13,44,44,0,6,13,11
01-02,0001,03,MINNEAPOLIS,27,687,RIVERSIDE-CHEMICAL,27,8,8,0,0,0,8,8,0,0,0,11
01-02,0001,03,MINNEAPOLIS,27,688,RIVERSIDE-MENTAL,27,39,21,0,0,9,39,21,0,0,9,11
01-02,0001,03,MINNEAPOLIS,27,689,ST. JOSEPH CHILDREN HOME,27,44,43,1,2,41,44,43,1,2,41,11
01-02,0001,03,MINNEAPOLIS,27,692,UNIV. OF MINN. HOSPITALS,27,16,16,0,1,3,16,16,0,1,3,11
01-02,0001,03,MINNEAPOLIS,27,694,HOMEBOUND PROGRAM,27,5,0,0,0,0,5,0,0,0,0,11
01-02,0001,03,MINNEAPOLIS,27,697,ABBOTT N.W.  HOSPITAL,27,19,18,0,1,7,19,18,0,1,7,11
01-02,0001,03,MINNEAPOLIS,27,698,SHRINERS HOSPITAL,27,6,6,0,0,1,6,6,0,0,1,11
01-02,0001,03,MINNEAPOLIS,27,898,EARLY CHILDHOOD ASSESSMENT/SPECIAL,27,0,0,0,0,0,12,2,0,0,12,11
01-02,0002,01,HILL CITY,01,001,HILL CITY EL.,01,167,72,20,0,33,172,76,20,0,38,03
01-02,0002,01,HILL CITY,01,003,HILL CITY SEC.,01,186,65,17,0,38,186,65,17,0,38,03
01-02,0004,01,MCGREGOR,01,010,MCGREGOR EL.,01,266,155,35,0,37,272,161,35,0,43,03
01-02,0004,01,MCGREGOR,01,030,MCGREGOR ALP,01,15,0,0,0,0,15,0,0,0,0,03
01-02,0004,01,MCGREGOR,01,040,MCGREGOR SEC.,01,253,99,32,0,44,253,99,32,0,44,03
01-02,0006,03,SOUTH ST. PAUL,19,120,SOUTH ST. PAUL SEC.,19,1693,232,179,14,171,1693,232,179,14,171,11
01-02,0006,03,SOUTH ST. PAUL,19,303,SO. ST. PAUL ALC,19,78,27,10,0,1,78,27,10,0,1,11
01-02,0006,03,SOUTH ST. PAUL,19,735,LINCOLN CENTER EL.,19,832,166,91,42,116,849,171,92,42,133,11
01-02,0006,03,SOUTH ST. PAUL,19,737,KAPOSIA EDUCATION CENTER EL.,19,839,174,137,41,78,858,180,137,41,97,11
01-02,0011,01,ANOKA-HENNEPIN,02,001,ANOKA SR.,02,3264,186,111,2,288,3264,186,111,2,288,11
01-02,0011,01,ANOKA-HENNEPIN,02,002,COON RAPIDS SR.,02,2770,206,146,5,281,2770,206,146,5,281,11
01-02,0011,01,ANOKA-HENNEPIN,02,003,FRED MOORE MID.,02,1447,173,73,63,173,1447,173,73,63,173,11
01-02,0011,01,ANOKA-HENNEPIN,02,004,COON RAPIDS MID.,02,1469,176,124,17,215,1469,176,124,17,215,11
01-02,0011,01,ANOKA-HENNEPIN,02,006,JACKSON MID.,02,1575,168,108,129,168,1575,168,108,129,168,11
01-02,0011,01,ANOKA-HENNEPIN,02,090,NORTHDALE MID.,02,1351,172,113,4,170,1351,172,113,4,170,11
01-02,0011,01,ANOKA-HENNEPIN,02,091,BLAINE SR.,02,3036,247,118,95,303,3036,247,118,95,303,11
01-02,0011,01,ANOKA-HENNEPIN,02,110,CROSSROADS ALTERNATIVE HIGH SCHOOL,02,197,42,11,2,29,197,42,11,2,29,11
01-02,0011,01,ANOKA-HENNEPIN,02,111,CROSSROADS NIGHTS,02,37,0,0,0,0,37,0,0,0,0,11
01-02,0011,01,ANOKA-HENNEPIN,02,121,SANDBURG MID.,02,1051,91,67,1,101,1051,91,67,1,101,11
01-02,0011,01,ANOKA-HENNEPIN,02,192,CHAMPLIN PARK SR.,02,3032,230,133,96,273,3032,230,133,96,273,11
01-02,0011,01,ANOKA-HENNEPIN,02,193,OAK VIEW MID.,02,1264,48,49,2,118,1264,48,49,2,118,11
01-02,0011,01,ANOKA-HENNEPIN,02,195,ROOSEVELT MID.,02,1443,128,93,89,175,1443,128,93,89,175,11
01-02,0011,01,ANOKA-HENNEPIN,02,400,ADAMS EL.,02,554,122,47,2,67,554,122,47,2,67,11
01-02,0011,01,ANOKA-HENNEPIN,02,401,CHAMPLIN EL.,02,417,63,25,0,39,417,63,25,0,39,11
01-02,0011,01,ANOKA-HENNEPIN,02,402,CROOKED LAKE EL.,02,677,36,29,3,67,677,36,29,3,67,11
01-02,0011,01,ANOKA-HENNEPIN,02,403,FRANKLIN EL.,02,404,83,37,3,50,404,83,37,3,50,11
01-02,0011,01,ANOKA-HENNEPIN,02,404,HAMILTON EL.,02,533,92,46,2,89,533,92,46,2,89,11
01-02,0011,01,ANOKA-HENNEPIN,02,405,HOOVER EL.,02,554,50,47,3,74,554,50,47,3,74,11
01-02,0011,01,ANOKA-HENNEPIN,02,406,JEFFERSON EL.,02,673,63,50,0,61,673,63,50,0,61,11
01-02,0011,01,ANOKA-HENNEPIN,02,407,JOHNSVILLE EL.,02,629,35,30,1,57,629,35,30,1,57,11
01-02,0011,01,ANOKA-HENNEPIN,02,408,LINCOLN EL.,02,378,116,47,64,49,378,116,47,64,49,11
01-02,0011,01,ANOKA-HENNEPIN,02,409,L.O. JACOB EL.,02,450,53,44,0,64,450,53,44,0,64,11
01-02,0011,01,ANOKA-HENNEPIN,02,410,MADISON EL.,02,539,56,50,3,86,539,56,50,3,86,11
01-02,0011,01,ANOKA-HENNEPIN,02,411,MCKINLEY EL.,02,912,41,53,4,64,912,41,53,4,64,11
01-02,0011,01,ANOKA-HENNEPIN,02,412,MISSISSIPPI EL.,02,534,87,38,62,58,534,87,38,62,58,11
01-02,0011,01,ANOKA-HENNEPIN,02,413,MONROE EL.,02,784,83,47,112,82,784,83,47,112,82,11
01-02,0011,01,ANOKA-HENNEPIN,02,414,MORRIS BYE EL.,02,675,78,35,4,83,675,78,35,4,83,11
01-02,0011,01,ANOKA-HENNEPIN,02,415,SORTEBERG EL.,02,486,93,65,80,43,486,93,65,80,43,11
01-02,0011,01,ANOKA-HENNEPIN,02,416,RIVERVIEW EL.,02,478,22,33,2,52,478,22,33,2,52,11
01-02,0011,01,ANOKA-HENNEPIN,02,417,SAND CREEK EL.,02,633,36,41,2,52,633,36,41,2,52,11
01-02,0011,01,ANOKA-HENNEPIN,02,418,UNIVERSITY EL.,02,540,128,47,128,50,540,128,47,128,50,11
01-02,0011,01,ANOKA-HENNEPIN,02,419,WASHINGTON EL.,02,415,49,33,5,57,415,49,33,5,57,11
01-02,0011,01,ANOKA-HENNEPIN,02,420,WILSON EL.,02,591,76,48,70,62,591,76,48,70,62,11
01-02,0011,01,ANOKA-HENNEPIN,02,421,EVERGREEN PARK EL.,02,537,139,64,157,57,537,139,64,157,57,11
01-02,0011,01,ANOKA-HENNEPIN,02,422,EISENHOWER EL.,02,506,73,47,3,76,506,73,47,3,76,11
01-02,0011,01,ANOKA-HENNEPIN,02,423,RAMSEY EL.,02,1068,60,58,3,133,1068,60,58,3,133,11
01-02,0011,01,ANOKA-HENNEPIN,02,424,DAYTON EL.,02,731,47,21,40,53,731,47,21,40,53,11
01-02,0011,01,ANOKA-HENNEPIN,02,425,OXBOW CREEK EL.,02,808,30,46,0,90,808,30,46,0,90,11
01-02,0011,01,ANOKA-HENNEPIN,02,426,ANDOVER EL.,02,1426,47,46,3,103,1426,47,46,3,103,11
01-02,0011,01,ANOKA-HENNEPIN,02,427,RUM RIVER EL.,02,538,11,10,0,49,538,11,10,0,49,11
01-02,0011,01,ANOKA-HENNEPIN,02,428,PETER ENICH KDG. CTR.,02,426,31,27,2,45,426,31,27,2,45,11
01-02,0011,01,ANOKA-HENNEPIN,02,429,PARK VIEW EARLY CHILDHOOD CTR.,02,342,6,10,1,26,342,6,10,1,26,11
01-02,0011,01,ANOKA-HENNEPIN,02,434,CHAMPLIN PLAZA ALC,02,114,5,6,2,8,114,5,6,2,8,11
01-02,0011,01,ANOKA-HENNEPIN,02,435,ANDOVER DOWNTOWN CTR ALC,02,67,1,3,0,3,67,1,3,0,3,11
01-02,0011,01,ANOKA-HENNEPIN,02,436,THE BRIDGE,02,49,18,0,0,49,49,18,0,0,49,11
01-02,0011,01,ANOKA-HENNEPIN,02,437,EARLY CHILDHOOD/SP. ED.,02,0,0,0,0,0,552,4,5,0,552,11
01-02,0011,01,ANOKA-HENNEPIN,02,464,ANTHONY LOUIS HOUSE,02,12,0,0,0,3,12,0,0,0,3,11
01-02,0011,01,ANOKA-HENNEPIN,02,465,NEW CONNECTIONS,02,10,2,0,0,2,10,2,0,0,2,11
01-02,0011,01,ANOKA-HENNEPIN,02,467,BELL CENTER,02,76,35,11,0,69,76,35,11,0,69,11
01-02,0011,01,ANOKA-HENNEPIN,02,468,TRANSITION PLUS,02,173,21,3,0,168,173,21,3,0,168,11
01-02,0011,01,ANOKA-HENNEPIN,02,469,UNIVERSITY CREEK ALC,02,109,4,2,0,5,109,4,2,0,5,11
01-02,0011,01,ANOKA-HENNEPIN,02,812,CROOKED LAKE ALC,02,83,11,5,0,4,83,11,5,0,4,11
01-02,0012,01,CENTENNIAL,02,164,CENTENNIAL SR.,02,1867,78,48,6,225,1867,78,48,6,225,11
01-02,0012,01,CENTENNIAL,02,166,CENTENNIAL MID.,02,1703,105,60,4,229,1703,105,60,4,229,11
01-02,0012,01,CENTENNIAL,02,167,C.A.L.C.,02,133,9,0,0,12,133,9,0,0,12,11
01-02,0012,01,CENTENNIAL,02,510,CENTENNIAL EL.,02,713,45,34,7,64,713,45,34,7,64,11
01-02,0012,01,CENTENNIAL,02,511,CENTERVILLE EL.,02,941,20,11,3,89,941,20,11,3,89,11
01-02,0012,01,CENTENNIAL,02,512,GOLDEN LAKE EL.,02,679,63,33,17,62,679,63,33,17,62,11
01-02,0012,01,CENTENNIAL,02,513,RICE LAKE EL.,02,854,49,22,3,93,854,49,22,3,93,11
01-02,0012,01,CENTENNIAL,02,514,EARLY CHILDHOOD CENTER,02,0,0,0,0,0,62,0,2,0,62,11
01-02,0012,01,CENTENNIAL,02,518,ANOKA JUVENILE CENTER,02,122,0,0,0,71,122,0,0,0,71,11
01-02,0013,01,COLUMBIA HEIGHTS,02,016,COLUMBIA HEIGHTS SR.,02,924,207,73,53,137,924,207,73,53,137,11
01-02,0013,01,COLUMBIA HEIGHTS,02,017,CENTRAL MID.,02,745,247,77,74,95,745,247,77,74,95,11
01-02,0013,01,COLUMBIA HEIGHTS,02,018,COLUMBIA HEIGHTS SR. ALC,02,78,25,8,0,8,78,25,8,0,8,11
01-02,0013,01,COLUMBIA HEIGHTS,02,515,HIGHLAND EL.,02,413,140,46,58,43,413,140,46,58,43,11
01-02,0013,01,COLUMBIA HEIGHTS,02,517,NORTH PARK EL.,02,527,172,57,51,42,527,172,57,51,42,11
01-02,0013,01,COLUMBIA HEIGHTS,02,520,VALLEY VIEW EL.,02,443,141,62,51,47,443,141,62,51,47,11
01-02,0013,01,COLUMBIA HEIGHTS,02,813,EARLY CHILDHOOD,02,0,0,0,0,0,30,0,0,0,30,11
01-02,0014,01,FRIDLEY,02,022,FRIDLEY SR.,02,785,119,67,25,85,785,119,67,25,85,11
01-02,0014,01,FRIDLEY,02,023,FRIDLEY MID.,02,761,181,77,38,89,761,181,77,38,89,11
01-02,0014,01,FRIDLEY,02,546,HAYES EL.,02,443,93,30,18,31,443,93,30,18,31,11
01-02,0014,01,FRIDLEY,02,550,STEVENSON EL.,02,424,105,40,26,36,446,105,40,26,58,11
01-02,0014,01,FRIDLEY,02,551,TRANSITIONS SCHOOL,02,14,2,1,0,14,14,2,1,0,14,11
