dat_yer,dst_num,dst_tye,dst_nam,dst_cou,sch_num,sch_nam,sch_cou,enr_k12,fre_k12,rpc_k12,lep_k12,spe_k12,enr_pk12,fre_pk12,rpc_pk12,lep_pk12,spe_pk12,eco_dev
03-04,0001,03,MINNEAPOLIS,27,182,SOUTHSIDE FAMILY,27,78,48,1,0,4,78,48,1,0,4,11
03-04,0001,03,MINNEAPOLIS,27,183,RIVER WEST ECSE,27,0,0,0,0,0,218,72,2,0,218,11
03-04,0001,03,MINNEAPOLIS,27,185,NORTH STAR EL.,27,543,496,20,122,80,543,496,20,122,80,11
03-04,0001,03,MINNEAPOLIS,27,190,ANDERSEN OPEN EL.,27,630,522,53,313,94,642,533,53,313,106,11
03-04,0001,03,MINNEAPOLIS,27,191,ANDERSEN EL.,27,379,326,41,206,32,379,326,41,206,32,11
03-04,0001,03,MINNEAPOLIS,27,193,SULLIVAN EL.,27,809,439,84,174,113,824,446,85,174,128,11
03-04,0001,03,MINNEAPOLIS,27,194,BENJAMIN BANNEKER MID.,27,240,212,16,37,38,240,212,16,37,38,11
03-04,0001,03,MINNEAPOLIS,27,195,POWDERHORN EL.,27,465,401,28,113,44,475,409,28,113,54,11
03-04,0001,03,MINNEAPOLIS,27,210,PERFORMING ARTS MAGNET-KENWOOD EL.,27,98,38,6,3,8,98,38,6,3,8,11
03-04,0001,03,MINNEAPOLIS,27,211,PERFORMING ARTS MAGNET-CITYVIEW EL.,27,95,72,11,0,8,95,72,11,0,8,11
03-04,0001,03,MINNEAPOLIS,27,214,PHILLIPS COMMUNITY SCHOOL,27,91,84,4,62,3,91,84,4,62,3,11
03-04,0001,03,MINNEAPOLIS,27,225,ANISHINABE ACADEMY EL,27,239,215,8,1,22,239,215,8,1,22,11
03-04,0001,03,MINNEAPOLIS,27,226,MARCY OPEN EL.,27,651,234,43,92,60,651,234,43,92,60,11
03-04,0001,03,MINNEAPOLIS,27,234,BOTTINEAU,27,128,60,17,20,17,128,60,17,20,17,11
03-04,0001,03,MINNEAPOLIS,27,238,DOWNTOWN OPEN,27,113,67,14,1,9,113,67,14,1,9,11
03-04,0001,03,MINNEAPOLIS,27,249,BRYN MAWR EL.,27,442,299,35,151,61,471,324,36,151,90,11
03-04,0001,03,MINNEAPOLIS,27,256,GREEN CENTRAL PARK,27,600,502,48,302,47,600,502,48,302,47,11
03-04,0001,03,MINNEAPOLIS,27,260,EMERSON EL.,27,543,267,54,211,26,543,267,54,211,26,11
03-04,0001,03,MINNEAPOLIS,27,268,LEARNING CNTR. FOR CHILDREN,27,68,67,0,1,9,68,67,0,1,9,11
03-04,0001,03,MINNEAPOLIS,27,280,JORDAN PARK SCH. OF EXTENDED LRNG.,27,436,350,44,66,49,436,350,44,66,49,11
03-04,0001,03,MINNEAPOLIS,27,282,LUCY LANEY @ CLEVELAND PARK EL.,27,669,510,97,193,85,669,510,97,193,85,11
03-04,0001,03,MINNEAPOLIS,27,283,RIVER WEST DTP,27,23,17,1,0,21,23,17,1,0,21,11
03-04,0001,03,MINNEAPOLIS,27,284,W. HARRY DAVIS ACADEMY,27,415,377,21,142,45,415,377,21,142,45,11
03-04,0001,03,MINNEAPOLIS,27,287,HALL EL.,27,244,212,16,47,30,244,212,16,47,30,11
03-04,0001,03,MINNEAPOLIS,27,288,NELLIE STONE JOHNSON EL.,27,558,488,39,161,51,565,493,40,161,58,11
03-04,0001,03,MINNEAPOLIS,27,289,WHITTIER PARK EL.,27,335,279,29,164,37,335,279,29,164,37,11
03-04,0001,03,MINNEAPOLIS,27,290,CITYVIEW COMMUNITY EL.,27,564,445,65,144,91,564,445,65,144,91,11
03-04,0001,03,MINNEAPOLIS,27,300,ANTHONY MID.,27,677,292,47,75,100,677,292,47,75,100,11
03-04,0001,03,MINNEAPOLIS,27,301,ANWATIN MID.,27,699,367,42,123,83,699,367,42,123,83,11
03-04,0001,03,MINNEAPOLIS,27,304,FOLWELL MID.,27,580,435,56,210,112,580,435,56,210,112,11
03-04,0001,03,MINNEAPOLIS,27,306,FRANKLIN MID.,27,616,522,43,125,126,616,522,43,125,126,11
03-04,0001,03,MINNEAPOLIS,27,311,SPAN,27,100,83,6,1,92,100,83,6,1,92,11
03-04,0001,03,MINNEAPOLIS,27,315,RONALD MCDONALD HOUSE,27,7,0,0,0,0,7,0,0,0,0,11
03-04,0001,03,MINNEAPOLIS,27,316,NORTHEAST MID.,27,585,370,55,80,105,585,370,55,80,105,11
03-04,0001,03,MINNEAPOLIS,27,318,OLSON MID.,27,650,453,81,144,119,650,453,81,144,119,11
03-04,0001,03,MINNEAPOLIS,27,319,VOLUNTEERS OF AMERICA MID.,27,30,27,3,1,10,30,27,3,1,10,11
03-04,0001,03,MINNEAPOLIS,27,324,SANFORD MID.,27,425,261,43,74,101,425,261,43,74,101,11
03-04,0001,03,MINNEAPOLIS,27,325,IDT-MERRIAM PARK,62,48,36,2,18,14,48,36,2,18,14,11
03-04,0001,03,MINNEAPOLIS,27,348,M.E.R.C.,27,52,31,8,3,4,52,31,8,3,4,11
03-04,0001,03,MINNEAPOLIS,27,349,LORING-NICOLLET,27,49,15,4,1,4,49,15,4,1,4,11
03-04,0001,03,MINNEAPOLIS,27,351,URBAN LEAGUE ST. ACADEMY,27,83,68,7,3,11,83,68,7,3,11,11
03-04,0001,03,MINNEAPOLIS,27,352,EDISON SR.,27,1266,900,92,458,192,1266,900,92,458,192,11
03-04,0001,03,MINNEAPOLIS,27,353,BROADWAY EDUCATION PLACE,27,240,207,2,29,34,240,207,2,29,34,11
03-04,0001,03,MINNEAPOLIS,27,354,HENRY SR.,27,1564,1024,158,288,220,1564,1024,158,288,220,11
03-04,0001,03,MINNEAPOLIS,27,357,PLYMOUTH YOUTH CENTER CAPRI,27,96,78,1,11,3,96,78,1,11,3,11
03-04,0001,03,MINNEAPOLIS,27,358,NORTH SR.,27,1201,872,114,208,225,1201,872,114,208,225,11
03-04,0001,03,MINNEAPOLIS,27,359,PEASE ACADEMY/HOLOS,27,66,30,1,1,5,66,30,1,1,5,11
03-04,0001,03,MINNEAPOLIS,27,360,ROOSEVELT SR.,27,1446,900,126,373,238,1446,900,126,373,238,11
03-04,0001,03,MINNEAPOLIS,27,361,CENTER SCHOOL,27,48,43,0,0,9,48,43,0,0,9,11
03-04,0001,03,MINNEAPOLIS,27,362,SOUTH SR.,27,1906,621,111,184,193,1906,621,111,184,193,11
03-04,0001,03,MINNEAPOLIS,27,363,WELLSTONE INTERNATIONAL HIGH,27,125,113,1,121,1,125,113,1,121,1,11
03-04,0001,03,MINNEAPOLIS,27,364,SOUTHWEST SR.,27,1611,533,67,330,178,1611,533,67,330,178,11
03-04,0001,03,MINNEAPOLIS,27,365,CITY INC. N.,27,105,87,7,14,4,105,87,7,14,4,11
03-04,0001,03,MINNEAPOLIS,27,367,P.M. HIGH SCHOOL,27,98,50,10,6,0,98,50,10,6,0,11
03-04,0001,03,MINNEAPOLIS,27,368,WASHBURN SR.,27,1333,616,109,264,157,1333,616,109,264,157,11
03-04,0001,03,MINNEAPOLIS,27,369,KATAHDIN,27,24,18,0,3,11,24,18,0,3,11,11
03-04,0001,03,MINNEAPOLIS,27,373,MENLO PARK,27,69,36,4,0,12,69,36,4,0,12,11
03-04,0001,03,MINNEAPOLIS,27,374,WORK OPPORTUNITY CTR.,27,179,123,16,35,17,179,123,16,35,17,11
03-04,0001,03,MINNEAPOLIS,27,376,EDISON EVENING PROGRAM,27,24,12,1,19,0,24,12,1,19,0,11
03-04,0001,03,MINNEAPOLIS,27,380,TRANSITION PLUS SERVICES,27,206,152,10,18,201,206,152,10,18,201,11
03-04,0001,03,MINNEAPOLIS,27,382,HARRISON EDUCATION CNTR,27,50,36,4,2,45,50,36,4,2,45,11
03-04,0001,03,MINNEAPOLIS,27,387,CONNECTION CTR.,27,85,70,3,0,6,85,70,3,0,6,11
03-04,0001,03,MINNEAPOLIS,27,391,ABRAHAM LINCOLN HIGH SCHOOL,27,240,220,10,203,0,240,220,10,203,0,11
03-04,0001,03,MINNEAPOLIS,27,393,AMERICAN INDIAN OIC,27,27,16,2,0,2,27,16,2,0,2,11
03-04,0001,03,MINNEAPOLIS,27,394,MN TEEN CHALLANGE,27,43,42,0,0,2,43,42,0,0,2,11
03-04,0001,03,MINNEAPOLIS,27,401,SULLIVAN HEARING IMPAIRED,27,48,33,3,11,48,48,33,3,11,48,11
03-04,0001,03,MINNEAPOLIS,27,403,MINNEAPOLIS YOUTH ACADEMY,27,48,42,2,0,4,48,42,2,0,4,11
03-04,0001,03,MINNEAPOLIS,27,405,FRESH START,27,97,52,12,0,9,97,52,12,0,9,11
03-04,0001,03,MINNEAPOLIS,27,406,VOLUNTEERS OF AMERICA-HIGH,27,116,96,4,26,12,116,96,4,26,12,11
03-04,0001,03,MINNEAPOLIS,27,408,CITY INC. SOUTH,27,120,91,10,13,9,120,91,10,13,9,11
03-04,0001,03,MINNEAPOLIS,27,411,PLYMOUTH YOUTH CTR. LYNDALE,27,91,77,6,18,7,91,77,6,18,7,11
03-04,0001,03,MINNEAPOLIS,27,412,CENTER FOR TRAINING & CAREERS,27,281,151,27,33,5,281,151,27,33,5,11
03-04,0001,03,MINNEAPOLIS,27,413,PLYMOUTH YOUTH CENTER MIDDLE,27,18,15,1,1,2,18,15,1,1,2,11
03-04,0001,03,MINNEAPOLIS,27,414,UL STREET ACADEMY MIDDLE,27,19,15,1,0,6,19,15,1,0,6,11
03-04,0001,03,MINNEAPOLIS,27,523,MPLS. H.S. ALTERNATIVE PROGRAM,27,11,3,0,0,0,11,3,0,0,0,11
03-04,0001,03,MINNEAPOLIS,27,625,MPLS. CRAWFORD FIRST,27,40,37,2,0,39,40,37,2,0,39,11
03-04,0001,03,MINNEAPOLIS,27,652,SHELTERS,27,33,32,1,4,21,33,32,1,4,21,11
03-04,0001,03,MINNEAPOLIS,27,679,UNIVERSITY-DAY COMMUNITY,27,18,3,0,0,15,18,3,0,0,15,11
03-04,0001,03,MINNEAPOLIS,27,685,HENN. CO. JUVENILE CNTR.,27,47,47,0,5,14,47,47,0,5,14,11
03-04,0001,03,MINNEAPOLIS,27,688,RIVERSIDE-MENTAL,27,60,38,0,0,8,60,38,0,0,8,11
03-04,0001,03,MINNEAPOLIS,27,689,ST. JOSEPH CHILDREN HOME,27,43,36,0,1,39,43,36,0,1,39,11
03-04,0001,03,MINNEAPOLIS,27,692,CHILDREN'S HOSPITAL ACADEMY,27,14,13,0,1,0,14,13,0,1,0,11
03-04,0001,03,MINNEAPOLIS,27,694,HOMEBOUND PROGRAM,27,1,0,0,0,0,1,0,0,0,0,11
03-04,0001,03,MINNEAPOLIS,27,697,CHILDRENS RES. TREAT CTR.,27,14,14,0,0,6,14,14,0,0,6,11
03-04,0001,03,MINNEAPOLIS,27,698,SHRINERS HOSPITAL,27,3,3,0,0,0,3,3,0,0,0,11
03-04,0001,03,MINNEAPOLIS,27,898,EARLY CHILDHOOD ASSESSMENT/SPECIAL,27,0,0,0,0,0,11,4,0,0,11,11
03-04,0002,01,HILL CITY,01,001,HILL CITY EL.,01,165,85,14,0,29,171,89,15,0,35,03
03-04,0002,01,HILL CITY,01,003,HILL CITY SEC.,01,191,73,11,0,37,191,73,11,0,37,03
03-04,0004,01,MCGREGOR,01,010,MCGREGOR EL.,01,238,149,29,0,47,243,150,31,0,52,03
03-04,0004,01,MCGREGOR,01,030,MCGREGOR ALP,01,16,3,1,0,2,16,3,1,0,2,03
03-04,0004,01,MCGREGOR,01,040,MCGREGOR SEC.,01,260,129,20,0,35,260,129,20,0,35,03
03-04,0006,03,SOUTH ST. PAUL,19,120,SOUTH ST. PAUL SEC.,19,1659,250,144,37,200,1659,250,144,37,200,11
03-04,0006,03,SOUTH ST. PAUL,19,303,SSP COMMUNITY LEARNING CENTER,19,74,24,5,0,4,74,24,5,0,4,11
03-04,0006,03,SOUTH ST. PAUL,19,735,LINCOLN CENTER EL.,19,841,186,59,73,103,873,189,61,73,135,11
03-04,0006,03,SOUTH ST. PAUL,19,737,KAPOSIA EDUCATION CENTER EL.,19,742,196,74,65,75,763,200,74,65,96,11
03-04,0011,01,ANOKA-HENNEPIN,02,001,ANOKA SR.,02,2502,230,125,0,263,2502,230,125,0,263,11
03-04,0011,01,ANOKA-HENNEPIN,02,002,COON RAPIDS SR.,02,2658,289,185,0,329,2658,289,185,0,329,11
03-04,0011,01,ANOKA-HENNEPIN,02,003,FRED MOORE MID.,02,950,186,87,63,139,950,186,87,63,139,11
03-04,0011,01,ANOKA-HENNEPIN,02,004,COON RAPIDS MID.,02,1588,291,114,0,225,1588,291,114,0,225,11
03-04,0011,01,ANOKA-HENNEPIN,02,006,JACKSON MID.,27,2330,307,152,188,218,2330,307,152,188,218,11
03-04,0011,01,ANOKA-HENNEPIN,02,090,NORTHDALE MID.,02,1484,256,123,67,194,1484,256,123,67,194,11
03-04,0011,01,ANOKA-HENNEPIN,02,091,BLAINE SR.,02,2928,339,162,190,315,2928,339,162,190,315,11
03-04,0011,01,ANOKA-HENNEPIN,02,094,ANDOVER SR HIGH,02,1411,76,61,0,145,1411,76,61,0,145,11
03-04,0011,01,ANOKA-HENNEPIN,02,110,CROSSROADS ALTERNATIVE HIGH SCHOOL,02,213,73,19,0,32,213,73,19,0,32,11
03-04,0011,01,ANOKA-HENNEPIN,02,111,CROSSROADS NIGHTS,02,41,0,1,0,1,41,0,1,0,1,11
03-04,0011,01,ANOKA-HENNEPIN,02,121,SANDBURG MID.,02,924,62,51,0,100,924,62,51,0,100,11
03-04,0011,01,ANOKA-HENNEPIN,02,192,CHAMPLIN PARK SR.,27,3055,286,173,181,284,3055,286,173,181,284,11
03-04,0011,01,ANOKA-HENNEPIN,02,193,OAK VIEW MID.,02,1187,75,47,0,127,1187,75,47,0,127,11
03-04,0011,01,ANOKA-HENNEPIN,02,195,ROOSEVELT MID.,02,1185,144,74,91,123,1185,144,74,91,123,11
03-04,0011,01,ANOKA-HENNEPIN,02,198,S.T.E.P.,02,1,0,0,0,0,1,0,0,0,0,11
03-04,0011,01,ANOKA-HENNEPIN,02,400,ADAMS EL.,02,501,130,50,1,60,501,130,50,1,60,11
03-04,0011,01,ANOKA-HENNEPIN,02,401,CHAMPLIN EL.,27,447,78,40,0,49,447,78,40,0,49,11
03-04,0011,01,ANOKA-HENNEPIN,02,402,CROOKED LAKE EL.,02,645,62,25,0,67,647,62,25,0,69,11
03-04,0011,01,ANOKA-HENNEPIN,02,403,FRANKLIN EL.,02,383,89,31,0,57,383,89,31,0,57,11
03-04,0011,01,ANOKA-HENNEPIN,02,404,HAMILTON EL.,02,461,89,39,0,78,461,89,39,0,78,11
03-04,0011,01,ANOKA-HENNEPIN,02,405,HOOVER EL.,02,489,65,34,0,73,489,65,34,0,73,11
03-04,0011,01,ANOKA-HENNEPIN,02,406,JEFFERSON EL.,02,741,104,51,88,76,741,104,51,88,76,11
03-04,0011,01,ANOKA-HENNEPIN,02,407,JOHNSVILLE EL.,02,695,99,33,72,77,695,99,33,72,77,11
03-04,0011,01,ANOKA-HENNEPIN,02,408,LINCOLN EL.,02,345,122,27,72,50,345,122,27,72,50,11
03-04,0011,01,ANOKA-HENNEPIN,02,409,L.O. JACOB EL.,02,417,99,36,0,68,417,99,36,0,68,11
03-04,0011,01,ANOKA-HENNEPIN,02,410,MADISON EL.,02,493,50,48,0,68,493,50,48,0,68,11
03-04,0011,01,ANOKA-HENNEPIN,02,411,MCKINLEY EL.,02,776,50,25,0,72,776,50,25,0,72,11
03-04,0011,01,ANOKA-HENNEPIN,02,412,MISSISSIPPI EL.,02,509,130,32,102,53,509,130,32,102,53,11
03-04,0011,01,ANOKA-HENNEPIN,02,413,MONROE EL.,27,611,64,34,67,74,611,64,34,67,74,11
03-04,0011,01,ANOKA-HENNEPIN,02,414,MORRIS BYE EL.,02,623,85,51,0,65,624,85,51,0,66,11
03-04,0011,01,ANOKA-HENNEPIN,02,415,SORTEBERG EL.,02,469,155,64,126,38,469,155,64,126,38,11
03-04,0011,01,ANOKA-HENNEPIN,02,416,RIVERVIEW EL.,27,319,46,29,74,22,319,46,29,74,22,11
03-04,0011,01,ANOKA-HENNEPIN,02,417,SAND CREEK EL.,02,686,66,37,0,66,686,66,37,0,66,11
03-04,0011,01,ANOKA-HENNEPIN,02,418,UNIVERSITY EL.,02,526,164,76,118,56,526,164,76,118,56,11
03-04,0011,01,ANOKA-HENNEPIN,02,419,WASHINGTON EL.,02,342,67,32,0,51,342,67,32,0,51,11
03-04,0011,01,ANOKA-HENNEPIN,02,420,WILSON EL.,02,569,132,42,102,79,569,132,42,102,79,11
03-04,0011,01,ANOKA-HENNEPIN,02,421,EVERGREEN PARK EL.,27,490,168,51,115,63,490,168,51,115,63,11
03-04,0011,01,ANOKA-HENNEPIN,02,422,EISENHOWER EL.,02,434,76,38,0,62,434,76,38,0,62,11
03-04,0011,01,ANOKA-HENNEPIN,02,423,RAMSEY EL.,02,1020,70,54,0,155,1020,70,54,0,155,11
03-04,0011,01,ANOKA-HENNEPIN,02,424,DAYTON EL.,27,673,45,29,54,63,673,45,29,54,63,11
03-04,0011,01,ANOKA-HENNEPIN,02,425,OXBOW CREEK EL.,27,1042,106,75,125,127,1042,106,75,125,127,11
03-04,0011,01,ANOKA-HENNEPIN,02,426,ANDOVER EL.,02,1405,78,53,0,136,1405,78,53,0,136,11
03-04,0011,01,ANOKA-HENNEPIN,02,427,RUM RIVER EL.,02,826,48,26,0,94,826,48,26,0,94,11
03-04,0011,01,ANOKA-HENNEPIN,02,428,PETER ENICH KDG. CTR.,02,306,50,17,0,33,306,50,17,0,33,11
03-04,0011,01,ANOKA-HENNEPIN,02,429,PARK VIEW EARLY CHILDHOOD CTR.,27,341,34,14,29,24,341,34,14,29,24,11
03-04,0011,01,ANOKA-HENNEPIN,02,434,CHAMPLIN PLAZA ALC,27,83,2,1,0,6,83,2,1,0,6,11
03-04,0011,01,ANOKA-HENNEPIN,02,435,ANDOVER DOWNTOWN CTR ALC,02,67,2,2,0,3,67,2,2,0,3,11
03-04,0011,01,ANOKA-HENNEPIN,02,436,BRIDGES,02,53,26,2,0,53,53,26,2,0,53,11
03-04,0011,01,ANOKA-HENNEPIN,02,437,EARLY CHILDHOOD/SP. ED.,02,0,0,0,0,0,574,0,1,0,574,11
03-04,0011,01,ANOKA-HENNEPIN,02,464,ANTHONY LOUIS HOUSE,02,24,0,0,0,3,24,0,0,0,3,11
03-04,0011,01,ANOKA-HENNEPIN,02,467,BELL CENTER,02,63,23,7,0,63,63,23,7,0,63,11
03-04,0011,01,ANOKA-HENNEPIN,02,468,TRANSITION PLUS,02,231,7,7,0,229,231,7,7,0,229,11
03-04,0011,01,ANOKA-HENNEPIN,02,469,UNIVERSITY CREEK ALC,02,42,1,1,0,2,42,1,1,0,2,11
03-04,0011,01,ANOKA-HENNEPIN,02,812,MIDDLE LEVEL ALTERNATIVE PROGRAM,02,73,23,7,1,2,73,23,7,1,2,11
03-04,0012,01,CENTENNIAL,02,164,CENTENNIAL SR.,02,2096,126,64,16,270,2096,126,64,16,270,11
03-04,0012,01,CENTENNIAL,02,166,CENTENNIAL MID.,02,1750,139,59,18,225,1750,139,59,18,225,11
03-04,0012,01,CENTENNIAL,02,167,C.A.L.C.,02,90,14,1,0,8,90,14,1,0,8,11
03-04,0012,01,CENTENNIAL,02,510,CENTENNIAL EL.,02,541,59,28,3,66,541,59,28,3,66,11
03-04,0012,01,CENTENNIAL,02,511,CENTERVILLE EL.,02,571,17,18,0,50,571,17,18,0,50,11
03-04,0012,01,CENTENNIAL,02,512,GOLDEN LAKE EL.,02,422,63,25,31,57,422,63,25,31,57,11
03-04,0012,01,CENTENNIAL,02,513,RICE LAKE EL.,02,853,23,11,0,74,853,23,11,0,74,11
03-04,0012,01,CENTENNIAL,02,514,EARLY CHILDHOOD CENTER,02,0,0,0,0,0,74,0,1,0,74,11
03-04,0012,01,CENTENNIAL,02,515,BLUE HERON EL.,02,650,49,29,0,58,650,49,29,0,58,11
03-04,0012,01,CENTENNIAL,02,518,ANOKA JUVENILE CENTER,02,4,1,0,0,4,4,1,0,0,4,11
03-04,0013,01,COLUMBIA HEIGHTS,02,016,COLUMBIA HEIGHTS SR.,02,921,266,64,105,103,921,266,64,105,103,11
03-04,0013,01,COLUMBIA HEIGHTS,02,017,CENTRAL MID.,02,658,248,74,79,79,658,248,74,79,79,11
03-04,0013,01,COLUMBIA HEIGHTS,02,515,HIGHLAND EL.,02,382,170,34,104,34,382,170,34,104,34,11
03-04,0013,01,COLUMBIA HEIGHTS,02,517,NORTH PARK EL.,02,467,171,47,97,50,467,171,47,97,50,11
03-04,0013,01,COLUMBIA HEIGHTS,02,520,VALLEY VIEW EL.,02,504,236,40,134,47,504,236,40,134,47,11
03-04,0013,01,COLUMBIA HEIGHTS,02,813,EARLY CHILDHOOD,02,0,0,0,0,0,39,1,0,0,39,11
03-04,0014,01,FRIDLEY,02,022,FRIDLEY SR.,02,828,181,72,40,109,828,181,72,40,109,11
03-04,0014,01,FRIDLEY,02,023,FRIDLEY MID.,02,791,219,83,37,95,791,219,83,37,95,11
03-04,0014,01,FRIDLEY,02,546,HAYES EL.,02,408,102,23,44,30,432,104,24,44,54,11
03-04,0014,01,FRIDLEY,02,550,STEVENSON EL.,02,411,148,45,39,41,411,148,45,39,41,11
03-04,0014,01,FRIDLEY,02,551,TRANSITIONS SCHOOL,02,10,0,0,1,10,10,0,0,1,10,11
03-04,0014,01,FRIDLEY,02,552,OUR SCHOOL ALC,02,100,21,3,0,18,100,21,3,0,18,11
03-04,0014,01,FRIDLEY,02,652,FRIDLEY MID. ALC,02,9,5,0,0,1,9,5,0,0,1,11
03-04,0015,01,ST. FRANCIS,02,122,ST. FRANCIS SR.,02,1774,138,98,4,135,1774,138,98,4,135,11
03-04,0015,01,ST. FRANCIS,02,123,ST. FRANCIS JR.,02,966,110,67,3,77,966,110,67,3,77,11
03-04,0015,01,ST. FRANCIS,02,140,TRANSITION 15,02,12,0,0,0,12,12,0,0,0,12,11
03-04,0015,01,ST. FRANCIS,02,141,ST. FRANCIS INTERMEDIATE EL.,02,452,72,25,11,40,452,72,25,11,40,11
