SchYear,DistNumb,DistType,DistName,SchNum,SchClassif,SchName,CountyNum,CountyName,EconDevRgn,TotFTE,Male,Female,IndianMale,IndianFemale,AsianMale,AsianFemale,HispanicMale,HispanicFemale,BlackMale,BlackFemale,WhiteMale,WhiteFemale,NewTch,AvgYrsExp,Exp1-5,Exp6-10,Exp11-15,Exp16-20,Exp21-25,Exp26-30,Exp31+,<BA,BA,MA,PhD,EdUnkn,AvgAge,Age <25,Age25-29,Age30-34,Age35-44,Age45-54,Age55+
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,106,10,BARTON OPEN ELEMENTARY,27,HENNEPIN,11,34.10,6.36,27.74,0.00,0.00,0.00,0.53,0.00,0.00,0.00,0.00,6.36,27.21,0.00,17.69,1.00,4.00,10.11,7.02,6.01,3.80,1.99,0.00,13.52,20.41,0.17,0.00,45.53,0.00,0.00,1.00,14.80,14.14,4.16
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,107,10,BETHUNE ELEMENTARY,27,HENNEPIN,11,27.59,2.00,25.59,0.00,0.00,0.00,1.00,0.00,1.00,0.00,2.00,2.00,21.59,0.00,17.72,3.00,0.00,9.00,8.02,3.57,2.00,2.00,0.00,12.02,15.57,0.00,0.00,47.39,1.00,1.00,2.00,5.00,12.59,6.00
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,110,10,BURROUGHS ELEMENTARY,27,HENNEPIN,11,32.62,14.80,17.82,1.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,13.80,16.32,1.00,17.82,1.00,4.50,10.50,7.60,4.02,2.00,3.00,0.00,7.80,21.82,0.00,3.00,47.11,1.00,0.00,1.50,13.10,11.00,6.02
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,119,10,FIELD ELEMENTARY,27,HENNEPIN,11,22.38,7.90,14.48,0.93,0.00,0.34,0.00,0.00,0.00,1.80,0.00,4.83,14.48,0.00,14.71,0.96,8.29,4.58,4.70,2.02,0.61,1.02,0.00,7.96,13.22,0.00,1.20,46.64,0.00,0.00,2.34,9.63,5.00,5.41
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,121,10,LAKE HARRIET UPPER SCHOOL,27,HENNEPIN,11,32.12,9.79,22.33,2.00,0.00,0.00,0.41,0.00,0.00,1.62,0.00,6.17,21.92,0.00,15.84,0.99,5.30,8.49,6.21,5.50,2.63,3.00,0.00,8.69,20.78,0.00,2.65,46.66,0.00,0.99,1.20,8.22,13.36,8.35
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,123,10,HALE ELEMENTARY,27,HENNEPIN,11,27.60,1.00,26.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,26.60,0.00,20.11,0.00,0.50,2.10,9.70,11.30,1.00,3.00,0.00,6.60,18.50,0.50,2.00,49.14,0.00,0.00,0.00,6.40,14.00,7.20
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,124,10,PARK VIEW MONTESSORI ELEMENTARY,27,HENNEPIN,11,17.16,2.98,14.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.98,14.18,0.00,17.08,0.00,0.00,7.66,5.89,1.61,0.00,2.00,0.00,5.98,9.28,0.00,1.90,43.92,0.00,0.00,0.00,9.45,2.11,5.60
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,130,10,HIAWATHA ELEMENTARY,27,HENNEPIN,11,16.60,1.60,15.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,3.00,1.60,11.50,0.00,22.56,0.00,0.50,0.60,5.10,7.40,2.00,1.00,0.00,2.00,14.60,0.00,0.00,49.64,0.00,0.00,0.00,3.60,10.50,2.50
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,134,10,LK NOKOMIS COMM-KEEWAYDIN CAMPUS,27,HENNEPIN,11,13.45,2.43,11.02,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,2.43,9.02,0.97,11.07,1.97,2.92,1.59,3.90,2.00,0.07,1.00,0.00,6.36,6.36,0.00,0.73,42.55,0.00,0.00,0.00,8.16,2.45,2.84
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,135,10,KENNY ELEMENTARY,27,HENNEPIN,11,16.89,3.00,13.89,0.00,0.00,0.00,0.99,0.80,0.00,0.20,0.00,2.00,12.90,1.00,18.52,1.00,3.00,2.00,4.89,4.80,1.20,0.00,0.00,2.80,13.89,0.00,0.20,44.48,1.00,0.00,1.00,6.89,7.00,1.00
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,136,10,KENWOOD ELEMENTARY,27,HENNEPIN,11,16.60,4.20,12.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.20,11.40,0.00,19.85,0.00,0.90,5.70,4.00,4.00,0.00,2.00,0.00,3.00,12.60,0.00,1.00,49.04,0.00,0.00,0.00,6.60,7.50,2.50
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,139,10,LONGFELLOW ELEMENTARY,27,HENNEPIN,11,19.24,3.00,16.24,0.00,0.00,0.00,2.00,0.00,0.00,0.00,3.00,3.00,11.24,2.43,15.17,2.43,2.00,6.67,4.34,2.10,0.70,1.00,0.00,8.63,10.61,0.00,0.00,46.83,0.60,0.00,1.00,7.83,5.77,4.04
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,140,10,LORING ELEMENTARY,27,HENNEPIN,11,20.10,5.00,15.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,5.00,14.10,0.00,19.15,0.20,0.50,6.30,6.00,4.00,1.50,1.60,0.00,7.20,12.90,0.00,0.00,47.31,0.00,0.00,0.50,5.50,8.50,5.60
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,144,10,LYNDALE ELEMENTARY,27,HENNEPIN,11,27.63,2.00,25.63,2.00,0.00,0.00,1.66,0.00,0.00,0.00,3.00,0.00,20.97,1.00,17.52,3.00,2.00,8.95,4.70,3.00,2.98,3.00,0.00,7.79,17.84,0.00,2.00,44.43,0.00,3.00,4.00,6.66,8.98,4.99
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,151,10,JENNY LIND ELEMENTARY,27,HENNEPIN,11,28.91,8.50,20.41,0.00,0.00,0.00,1.75,0.00,0.00,1.50,1.00,7.00,17.66,1.00,15.63,1.50,3.85,8.40,6.67,3.99,0.50,4.00,0.00,9.76,18.16,0.99,0.00,48.00,0.00,0.00,2.25,9.66,10.10,6.90
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,152,10,NORTHROP ELEMENTARY,27,HENNEPIN,11,21.69,10.11,11.58,0.00,0.00,1.00,1.00,1.00,1.99,0.00,0.00,8.11,8.59,0.10,11.65,1.70,5.51,7.10,5.39,1.00,0.99,0.00,0.00,10.20,10.00,0.00,1.49,44.47,0.10,0.00,1.50,12.11,5.40,2.58
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,155,10,PILLSBURY ELEMENTARY,27,HENNEPIN,11,33.14,4.51,28.63,0.00,0.00,0.00,0.00,0.00,1.00,0.00,3.00,4.51,24.63,0.00,21.21,2.00,1.33,6.81,8.00,7.30,2.00,5.70,0.00,10.33,19.81,0.00,3.00,50.38,0.00,0.00,1.50,5.80,16.11,9.73
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,156,10,PRATT ELEMENTARY,27,HENNEPIN,11,11.03,1.00,10.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,10.03,0.00,19.80,0.00,0.83,4.00,2.00,1.80,1.40,1.00,0.00,2.90,8.13,0.00,0.00,48.20,0.00,0.00,0.43,2.30,5.30,3.00
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,160,10,SEWARD ELEMENTARY,27,HENNEPIN,11,42.14,7.50,34.64,0.00,0.00,0.00,0.99,0.00,0.00,0.00,1.02,7.50,32.63,1.02,16.88,3.04,4.97,12.09,12.04,4.02,3.99,1.99,0.00,12.52,27.59,0.00,2.03,46.92,0.00,1.02,0.00,14.15,17.98,8.99
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,161,10,SHERIDAN ELEMENTARY,27,HENNEPIN,11,40.14,12.05,28.09,0.00,0.00,1.00,0.47,0.00,0.00,1.00,1.00,10.05,26.62,0.00,16.04,3.01,6.01,13.55,7.48,6.99,1.03,2.07,0.00,11.64,28.50,0.00,0.00,46.38,0.00,1.00,5.02,13.99,13.57,6.56
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,165,10,WAITE PARK ELEMENTARY,27,HENNEPIN,11,22.64,3.00,19.64,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,18.64,1.02,19.04,1.02,0.50,2.52,3.80,5.80,4.00,5.00,0.00,9.84,11.80,0.00,1.00,52.04,0.00,0.50,1.00,0.00,10.62,10.52
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,167,10,LK NOKOMIS COMM-WENONAH CAMPUS,27,HENNEPIN,11,15.08,1.50,13.58,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,12.58,1.00,18.29,1.00,0.90,1.50,4.08,2.60,1.00,4.00,0.00,5.03,10.05,0.00,0.00,46.95,1.00,0.00,0.50,5.02,5.10,3.46
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,170,10,WINDOM SCHOOL,27,HENNEPIN,11,15.43,5.00,10.43,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,3.00,9.43,3.00,14.61,5.40,2.00,2.00,3.01,1.00,1.00,1.02,0.00,7.01,7.42,1.00,0.00,41.61,0.00,4.40,0.00,2.00,8.01,1.02
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,175,10,RAMSEY FINE ARTS ELEMENTARY,27,HENNEPIN,11,54.80,8.83,45.97,0.85,0.98,0.00,0.00,0.00,2.00,0.00,4.30,7.98,38.69,0.80,15.09,0.80,12.44,17.11,12.84,3.83,5.78,2.00,0.00,16.40,36.90,0.00,1.50,46.01,0.00,0.00,2.51,23.52,17.15,11.62
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,179,10,JEFFERSON ELEMENTARY,27,HENNEPIN,11,40.14,8.28,31.86,0.00,1.00,0.00,1.01,0.00,0.00,1.00,0.00,7.28,29.85,1.00,15.30,2.82,7.64,10.27,4.50,9.91,3.00,2.00,0.00,12.65,25.46,1.03,1.00,44.68,0.00,2.00,3.85,14.76,9.66,9.87
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,180,10,DOWLING ELEMENTARY,27,HENNEPIN,11,30.99,6.00,24.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,24.99,0.00,21.05,0.00,1.00,8.00,10.00,4.49,2.50,5.00,0.00,7.50,18.50,2.00,2.99,49.82,0.00,0.00,0.00,9.00,14.99,7.00
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,183,50,ECSE,27,HENNEPIN,11,3.50,0.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.50,0.00,20.00,0.00,1.00,0.00,0.00,1.50,1.00,0.00,0.00,1.50,2.00,0.00,0.00,46.50,0.00,0.00,0.00,1.00,2.50,0.00
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,190,10,ANDERSEN OPEN ELEMENTARY,27,HENNEPIN,11,42.23,12.47,29.76,0.00,1.50,0.00,2.00,2.00,1.00,1.02,1.20,9.45,24.06,2.00,13.76,4.00,12.96,12.09,5.67,5.51,1.00,1.00,0.00,21.23,21.00,0.00,0.00,45.76,0.00,3.50,3.02,11.54,18.66,5.51
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,191,10,ANDERSEN ELEMENTARY,27,HENNEPIN,11,34.50,6.00,28.50,0.00,0.50,1.00,1.00,0.00,2.00,0.20,1.00,4.80,24.00,2.00,11.00,6.00,12.00,10.80,2.20,3.00,0.50,0.00,0.00,18.00,15.50,0.00,1.00,42.00,0.00,2.00,5.00,16.00,8.00,3.50
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,193,10,SULLIVAN ELEMENTARY,27,HENNEPIN,11,49.55,11.42,38.13,0.00,0.00,0.00,1.99,0.99,1.02,1.02,4.99,9.41,30.13,2.24,17.25,2.24,5.41,16.12,8.81,7.00,6.99,2.98,0.00,15.67,32.86,0.00,1.02,46.43,1.24,1.00,3.02,13.52,18.81,11.96
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,210,10,PERFORMING ARTS MAGNET-KENWOOD EL.,27,HENNEPIN,11,6.00,1.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,5.00,0.00,24.09,0.00,0.50,0.50,1.00,2.00,1.00,1.00,0.00,1.00,5.00,0.00,0.00,54.73,0.00,0.00,0.00,1.00,2.50,2.50
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,225,40,ANISHINABE ACADEMY,27,HENNEPIN,11,27.39,6.99,20.40,0.00,5.81,0.00,0.00,0.00,0.00,0.00,1.00,6.99,13.59,0.97,11.07,7.97,2.60,8.80,4.02,2.00,2.00,0.00,0.00,14.77,12.62,0.00,0.00,44.53,0.00,0.97,2.00,10.01,8.97,5.44
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,226,10,MARCY OPEN ELEMENTARY,27,HENNEPIN,11,30.13,8.05,22.08,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,7.05,22.08,0.00,14.05,1.00,7.49,9.25,7.99,2.00,2.00,0.40,0.00,9.74,20.39,0.00,0.00,45.78,0.00,2.50,1.50,6.69,10.04,9.40
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,249,10,BRYN MAWR ELEMENTARY,27,HENNEPIN,11,18.19,2.00,16.19,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,13.19,1.00,15.65,2.00,1.99,2.20,7.00,3.00,2.00,0.00,0.00,7.50,8.59,0.00,2.10,45.00,0.00,1.00,1.00,5.79,8.30,2.10
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,256,10,GREEN CENTRAL PARK ELEMENTARY,27,HENNEPIN,11,37.98,5.94,32.04,0.00,2.00,0.00,1.00,0.00,3.95,0.00,3.67,5.94,21.42,0.00,12.94,5.00,9.73,8.00,8.75,2.00,2.00,2.50,0.00,9.47,26.79,0.00,1.72,45.88,0.00,2.96,1.98,9.69,12.31,11.04
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,260,10,EMERSON ELEMENTARY,27,HENNEPIN,11,30.38,5.01,25.37,0.00,0.00,0.00,1.00,1.00,7.52,1.00,2.01,3.01,14.84,1.84,12.76,4.85,4.50,8.03,7.00,1.00,2.00,3.00,0.00,12.87,17.51,0.00,0.00,45.29,0.83,1.00,1.01,11.51,13.03,3.00
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,282,10,LUCY LANEY @ CLEVELAND PARK ELEM.,27,HENNEPIN,11,40.51,7.60,32.91,0.00,0.00,0.00,2.50,0.00,1.00,3.00,6.79,4.60,22.62,0.00,12.33,6.00,12.73,14.99,3.00,1.02,2.77,0.00,0.00,19.80,20.71,0.00,0.00,40.85,0.00,1.99,5.23,21.51,10.18,1.60
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,283,50,CROSSTOWN EDUCATIONAL CENTER,27,HENNEPIN,11,8.06,4.03,4.03,0.00,0.00,0.00,0.00,1.01,0.00,0.00,0.00,3.02,4.03,1.01,10.62,2.02,1.01,2.02,2.00,1.01,0.00,0.00,0.00,4.04,4.02,0.00,0.00,44.04,0.00,2.02,0.00,1.01,3.01,2.02
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,287,10,HALL INTERNATIONAL,27,HENNEPIN,11,26.99,4.10,22.89,1.00,0.00,0.00,1.00,0.00,0.00,2.00,5.00,1.10,16.89,0.00,14.49,1.00,7.40,9.09,6.50,0.00,1.00,2.00,0.00,11.90,14.10,0.00,0.99,43.31,0.00,0.90,5.50,8.59,5.00,7.00
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,288,10,NELLIE STONE JOHNSON ELEMENTARY,27,HENNEPIN,11,47.10,10.05,37.05,0.00,0.00,0.00,1.02,0.00,1.00,2.04,7.16,8.01,27.87,1.00,11.20,4.03,14.09,13.12,9.04,2.02,3.00,1.80,0.00,16.80,29.31,0.00,0.99,38.76,0.00,3.04,7.99,19.25,8.00,8.82
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,289,10,WHITTIER INTERNATIONAL,27,HENNEPIN,11,27.19,3.20,23.99,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,3.20,20.99,1.20,11.39,4.19,6.00,10.00,3.00,3.00,0.00,1.00,0.00,4.20,21.99,0.00,1.00,39.00,0.20,1.99,5.50,10.50,5.00,4.00
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,290,10,CITYVIEW PAM MAGNET,27,HENNEPIN,11,37.56,7.51,30.05,0.00,0.00,1.00,2.42,0.00,0.00,4.96,5.00,1.55,22.63,0.54,13.89,2.54,10.52,8.48,8.97,5.05,2.00,0.00,0.00,16.35,19.20,0.00,2.01,45.71,0.23,0.00,5.82,12.11,7.38,12.02
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,291,10,HMONG INTERNATIONAL ACADEMY,27,HENNEPIN,11,16.21,6.02,10.19,0.00,0.00,4.01,6.00,0.00,0.00,0.00,0.00,2.01,4.19,0.00,12.67,0.00,7.62,2.00,5.99,0.00,0.60,0.00,0.00,7.62,8.59,0.00,0.00,40.20,0.00,1.00,3.60,5.02,6.59,0.00
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,300,20,ANTHONY MIDDLE SCHOOL,27,HENNEPIN,11,27.08,11.70,15.38,0.00,1.02,0.00,0.00,0.00,0.71,0.00,0.80,11.70,12.85,0.51,15.51,1.99,5.06,11.55,4.04,2.02,0.40,2.02,0.00,8.63,18.45,0.00,0.00,46.21,0.51,1.48,4.02,7.81,9.28,3.98
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,301,20,ANWATIN MIDDLE SCHOOL,27,HENNEPIN,11,25.45,6.33,19.12,0.00,0.91,0.84,0.00,0.00,0.00,0.98,0.08,4.51,18.13,0.00,14.89,0.92,8.06,5.99,7.25,0.98,0.92,1.25,0.00,7.64,17.73,0.00,0.08,42.87,0.00,0.92,5.40,8.46,6.51,4.16
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,304,20,FOLWELL MIDDLE SCHOOL,27,HENNEPIN,11,16.86,7.22,9.64,0.00,0.00,1.77,0.00,0.00,0.60,0.00,0.80,5.45,8.24,1.00,11.58,2.17,3.63,5.67,2.60,2.79,0.00,0.00,0.00,8.47,8.39,0.00,0.00,43.28,0.00,0.97,1.00,5.02,7.63,2.24
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,311,50,SPAN,27,HENNEPIN,11,12.96,5.00,7.96,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,3.00,7.96,0.00,11.14,2.00,4.00,3.96,2.00,1.00,0.00,0.00,0.00,6.00,6.96,0.00,0.00,39.71,0.00,3.00,1.96,4.00,3.00,1.00
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,315,43,RONALD MCDONALD HOUSE,27,HENNEPIN,11,0.79,0.00,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.00,0.00,0.00,0.00,0.00,0.79,0.00
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,316,20,NORTHEAST MIDDLE,27,HENNEPIN,11,32.31,11.74,20.57,0.00,0.00,0.00,0.97,1.02,0.51,2.04,1.00,8.68,18.09,1.62,12.73,3.59,8.09,12.06,4.53,4.04,0.00,0.00,0.00,15.14,17.17,0.00,0.00,42.49,0.00,3.00,5.00,12.61,8.64,3.06
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,318,20,OLSON MIDDLE,27,HENNEPIN,11,28.68,9.09,19.59,0.00,0.00,0.00,0.34,0.00,0.00,0.80,3.65,8.29,15.60,0.00,11.19,4.76,10.88,6.29,5.88,0.00,0.87,0.00,0.00,14.57,14.11,0.00,0.00,44.86,0.00,3.72,3.34,5.80,9.71,6.11
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,324,20,SANFORD MIDDLE,27,HENNEPIN,11,21.44,10.55,10.89,0.00,0.00,0.00,0.00,1.00,0.00,2.12,1.00,7.43,9.89,1.40,13.69,1.80,5.62,7.68,3.14,1.00,0.00,2.20,0.00,10.47,9.97,0.00,1.00,46.13,0.00,0.00,2.71,7.07,6.46,5.20
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,325,43,CONTRACTED SERVICES KE,27,HENNEPIN,11,2.40,0.00,2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.33,2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,0.80,0.00,1.60,0.00,0.00
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,348,43,MPLS. EMPLOYMENT READINESS CURRIC.,27,HENNEPIN,11,4.20,2.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,0.00,2.75,4.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,1.60,0.00,0.00,31.25,0.00,3.60,0.00,0.00,0.00,0.60
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,349,43,LORING-NICOLLET HIGH,27,HENNEPIN,11,3.00,2.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.33,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,38.67,0.00,1.00,1.00,0.00,0.00,1.00
07-08,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.,351,43,URBAN LEAGUE ACADEMY-HIGH,27,HENNEPIN,11,7.97,5.98,1.99,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,2.00,0.00,0.00,3.24,6.97,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.99,2.99,0.00,1.00,38.06,0.99,2.00,0.67,1.99,1.99,0.33
